tempbeta	mu	density	err	doublon	err	
4.7170e+00	-4.8840e-01	3.3408e-01	9.4468e-04	7.1448e-03	9.7811e-06	
4.7170e+00	-4.4820e-01	3.8181e-01	5.6238e-04	9.6974e-03	9.0529e-06	
4.7170e+00	-4.0800e-01	4.3483e-01	7.8283e-04	1.4414e-02	3.1761e-05	
4.7170e+00	-3.6780e-01	4.8385e-01	5.5399e-04	1.7429e-02	1.8535e-05	
4.7170e+00	-3.2760e-01	5.3772e-01	3.4360e-04	2.3047e-02	1.7479e-05	
4.7170e+00	-2.8740e-01	5.9397e-01	5.0291e-04	3.0104e-02	3.6929e-05	
4.7170e+00	-2.4720e-01	6.5043e-01	3.2146e-04	3.8980e-02	3.5799e-05	
4.7170e+00	-2.0700e-01	7.0819e-01	6.1652e-04	4.9812e-02	1.0616e-04	
4.7170e+00	-1.6680e-01	7.6487e-01	5.5988e-04	6.3226e-02	1.5289e-04	
4.7170e+00	-1.2660e-01	8.2200e-01	1.0458e-04	7.9218e-02	4.4314e-05	
4.7170e+00	-8.6400e-02	8.7909e-01	1.0947e-04	9.7994e-02	8.8705e-05	
4.7170e+00	-4.6200e-02	9.3539e-01	1.5958e-04	1.2036e-01	2.9931e-04	
4.7170e+00	-6.0000e-03	9.9165e-01	2.5120e-05	1.4573e-01	3.7393e-04	
4.7170e+00	3.4200e-02	1.0478e+00	9.8658e-05	1.7536e-01	3.8050e-04	
4.7170e+00	7.4400e-02	1.1043e+00	3.8393e-04	2.0874e-01	7.7037e-04	
4.7170e+00	1.1460e-01	1.1597e+00	4.1839e-04	2.4769e-01	5.5665e-04	
4.7170e+00	1.5480e-01	1.2175e+00	5.3989e-04	2.8498e-01	7.1207e-04	
4.7170e+00	1.9500e-01	1.2746e+00	4.3067e-04	3.2811e-01	5.1534e-04	
4.7170e+00	2.3520e-01	1.3293e+00	4.3007e-04	3.7436e-01	4.9904e-04	
4.7170e+00	2.7540e-01	1.3853e+00	4.3682e-04	4.2066e-01	4.7170e-04	
4.7170e+00	3.1560e-01	1.4452e+00	6.7185e-04	4.7017e-01	7.0823e-04	
4.7170e+00	3.5580e-01	1.5008e+00	3.8193e-04	5.1974e-01	3.9636e-04	
4.7170e+00	3.9600e-01	1.5541e+00	8.0208e-04	5.6837e-01	8.2258e-04	
4.7170e+00	4.3620e-01	1.5958e+00	5.0908e-04	6.0864e-01	5.4830e-04	
4.7170e+00	4.7640e-01	1.6520e+00	7.6732e-04	6.5979e-01	7.7637e-04	
4.7170e+00	5.1660e-01	1.6937e+00	9.5665e-04	6.9943e-01	9.6447e-04	
4.7170e+00	5.5680e-01	1.7341e+00	4.4942e-04	7.3824e-01	4.5177e-04	
4.7170e+00	5.9700e-01	1.7708e+00	5.4846e-04	7.7373e-01	5.5038e-04	
4.7170e+00	6.3720e-01	1.8040e+00	3.9172e-04	8.0609e-01	3.9313e-04	
4.7170e+00	6.7740e-01	1.8332e+00	3.0031e-04	8.3467e-01	3.0075e-04	
4.7170e+00	7.1760e-01	1.8466e+00	3.9390e-04	8.4838e-01	3.9220e-04	
4.7170e+00	7.5780e-01	1.8798e+00	2.9190e-04	8.8050e-01	2.9208e-04	
4.7170e+00	7.9800e-01	1.8988e+00	3.1163e-04	8.9929e-01	3.1179e-04	
4.7170e+00	8.3820e-01	1.9148e+00	3.9970e-04	9.1519e-01	3.9978e-04	
4.7170e+00	8.7840e-01	1.9286e+00	2.0477e-04	9.2883e-01	2.0482e-04	
4.7170e+00	9.1860e-01	1.9403e+00	1.4081e-04	9.4044e-01	1.4081e-04	
4.7170e+00	9.5880e-01	1.9501e+00	1.6845e-04	9.5020e-01	1.6846e-04	
4.7170e+00	9.9900e-01	1.9581e+00	1.0866e-04	9.5819e-01	1.0866e-04	
4.7170e+00	1.0392e+00	1.9652e+00	9.0611e-05	9.6524e-01	9.0611e-05	
4.7170e+00	1.0794e+00	1.9711e+00	1.2427e-04	9.7112e-01	1.2427e-04	
4.7170e+00	1.1196e+00	1.9760e+00	6.1466e-05	9.7601e-01	6.1463e-05	
4.7170e+00	1.1598e+00	1.9800e+00	5.8240e-05	9.8003e-01	5.8241e-05	
4.7170e+00	1.2000e+00	1.9834e+00	5.4374e-05	9.8336e-01	5.4372e-05	
4.7170e+00	1.2402e+00	1.9862e+00	7.1856e-05	9.8619e-01	7.1854e-05	
4.7170e+00	1.2804e+00	1.9887e+00	6.4162e-05	9.8874e-01	6.4161e-05	
4.7170e+00	1.3206e+00	1.9906e+00	5.6357e-05	9.9058e-01	5.6356e-05	
4.7170e+00	1.3608e+00	1.9923e+00	1.5622e-05	9.9227e-01	1.5622e-05	
4.7170e+00	1.4010e+00	1.9935e+00	2.3178e-05	9.9348e-01	2.3178e-05	
4.7170e+00	1.4412e+00	1.9946e+00	9.5254e-06	9.9464e-01	9.5251e-06	
4.7170e+00	1.4814e+00	1.9956e+00	1.6923e-05	9.9557e-01	1.6924e-05	
4.7170e+00	1.5216e+00	1.9963e+00	2.2242e-05	9.9633e-01	2.2242e-05	
4.7170e+00	1.5618e+00	1.9970e+00	1.0977e-05	9.9697e-01	1.0976e-05	
4.7170e+00	1.6020e+00	1.9975e+00	9.3137e-06	9.9748e-01	9.3136e-06	
4.7170e+00	1.6422e+00	1.9979e+00	9.4523e-06	9.9792e-01	9.4523e-06	
4.7170e+00	1.6824e+00	1.9983e+00	8.4536e-06	9.9828e-01	8.4536e-06	
4.7170e+00	1.7226e+00	1.9986e+00	3.5335e-06	9.9857e-01	3.5335e-06	
