"tempβ"	"μ"	"density"	"err"	"doublon"	"err"	"int_energy"	"err"	"kinetic_energy"	"err"	"total_energy"	"err"
23.752969121140143	-6.021	0.	0.	0.	0.	0.	0.	4.857935299999999e-53	1.6159527e-55	4.857935299999999e-53	1.6159527e-55
23.752969121140143	-5.9808	0.	0.	0.	0.	0.	0.	1.2622515000000002e-52	4.1987768999999995e-55	1.2622515000000002e-52	4.1987768999999995e-55
23.752969121140143	-5.940600000000001	0.	0.	0.	0.	0.	0.	3.2797447000000002e-52	1.0909804e-54	3.2797447000000002e-52	1.0909804e-54
23.752969121140143	-5.900400000000001	0.	0.	0.	0.	0.	0.	8.5218563e-52	2.8347262000000004e-54	8.5218563e-52	2.8347262000000004e-54
23.752969121140143	-5.860200000000002	0.	0.	0.	0.	0.	0.	2.2142586999999998e-51	7.3655516e-54	2.2142586999999998e-51	7.3655516e-54
23.752969121140143	-5.820000000000002	0.	0.	0.	0.	0.	0.	5.682045199999999e-51	1.9243433e-53	5.682045199999999e-51	1.9243433e-53
23.752969121140143	-5.7798000000000025	0.	0.	0.	0.	0.	0.	1.4949156e-50	4.9727153e-53	1.4949156e-50	4.9727153e-53
23.752969121140143	-5.739600000000003	0.	0.	0.	0.	0.	0.	3.8842828000000007e-50	1.2920751e-52	3.8842828000000007e-50	1.2920751e-52
23.752969121140143	-5.699400000000003	0.	0.	0.	0.	0.	0.	1.0092645e-49	3.3572363e-52	1.0092645e-49	3.3572363e-52
23.752969121140143	-5.659200000000004	0.	0.	0.	0.	0.	0.	2.6224014e-49	8.7232049e-52	2.6224014e-49	8.7232049e-52
23.752969121140143	-5.619000000000004	0.	0.	0.	0.	0.	0.	6.813861799999999e-49	2.2665756999999998e-51	6.813861799999999e-49	2.2665756999999998e-51
23.752969121140143	-5.578800000000005	0.	0.	0.	0.	0.	0.	1.7704655999999997e-48	5.8893097e-51	1.7704655999999997e-48	5.8893097e-51
23.752969121140143	-5.538600000000005	0.	0.	0.	0.	0.	0.	4.6002522e-48	1.5302365000000004e-50	4.6002522e-48	1.5302365000000004e-50
23.752969121140143	-5.4984000000000055	0.	0.	0.	0.	0.	0.	1.1952969e-47	3.9760580000000005e-50	1.1952969e-47	3.9760580000000005e-50
23.752969121140143	-5.458200000000006	0.	0.	0.	0.	0.	0.	3.1057748e-47	1.0331107e-49	3.1057748e-47	1.0331107e-49
23.752969121140143	-5.418000000000006	0.	0.	0.	0.	0.	0.	8.069825000000001e-47	2.6843616999999996e-49	8.069825000000001e-47	2.6843616999999996e-49
23.752969121140143	-5.377800000000007	0.	0.	0.	0.	0.	0.	2.0968061000000003e-46	6.9748551e-49	2.0968061000000003e-46	6.9748551e-49
23.752969121140143	-5.337600000000007	0.	0.	0.	0.	0.	0.	5.448192400000001e-46	1.8122969e-48	5.448192400000001e-46	1.8122969e-48
23.752969121140143	-5.297400000000008	0.	0.	0.	0.	0.	0.	1.4156197e-45	4.7089438e-48	1.4156197e-45	4.7089438e-48
23.752969121140143	-5.257200000000008	0.	0.	0.	0.	0.	0.	3.6782458999999997e-45	1.2235386e-47	3.6782458999999997e-45	1.2235386e-47
23.752969121140143	-5.2170000000000085	0.	0.	0.	0.	0.	0.	9.557293399999999e-45	3.1791559000000003e-47	9.557293399999999e-45	3.1791559000000003e-47
23.752969121140143	-5.176800000000009	0.	0.	0.	0.	0.	0.	2.4832994e-44	8.2604934e-47	2.4832994e-44	8.2604934e-47
23.752969121140143	-5.136600000000009	0.	0.	0.	0.	0.	0.	6.452429e-44	2.1463481000000006e-46	6.452429e-44	2.1463481000000006e-46
23.752969121140143	-5.09640000000001	0.	0.	0.	0.	0.	0.	1.6765534e-43	5.576918600000001e-46	1.6765534e-43	5.576918600000001e-46
23.752969121140143	-5.05620000000001	0.	0.	0.	0.	0.	0.	4.3562376e-43	1.4490669999999998e-45	4.3562376e-43	1.4490669999999998e-45
23.752969121140143	-5.016000000000011	0.	0.	0.	0.	0.	0.	1.1318939e-42	3.765153e-45	1.1318939e-42	3.765153e-45
23.752969121140143	-4.975800000000011	0.	0.	0.	0.	0.	0.	2.9410328000000005e-42	9.7831066e-45	2.9410328000000005e-42	9.7831066e-45
23.752969121140143	-4.9356000000000115	0.	0.	0.	0.	0.	0.	7.6417713e-42	2.5419731000000003e-44	7.6417713e-42	2.5419731000000003e-44
23.752969121140143	-4.895400000000012	0.	0.	0.	0.	0.	0.	1.9855836999999999e-41	6.604882700000001e-44	1.9855836999999999e-41	6.604882700000001e-44
23.752969121140143	-4.855200000000012	0.	0.	0.	0.	0.	0.	5.1591999e-41	1.7161658999999998e-43	5.1591999e-41	1.7161658999999998e-43
23.752969121140143	-4.815000000000013	0.	0.	0.	0.	0.	0.	1.3405299000000002e-40	4.4591638e-43	1.3405299000000002e-40	4.4591638e-43
23.752969121140143	-4.774800000000013	0.	0.	0.	0.	0.	0.	3.4831379000000004e-40	1.1586375e-42	3.4831379000000004e-40	1.1586375e-42
23.752969121140143	-4.734600000000014	0.	0.	0.	0.	0.	0.	9.050338700000001e-40	3.0105216e-42	9.050338700000001e-40	3.0105216e-42
23.752969121140143	-4.694400000000014	0.	0.	0.	0.	0.	0.	2.3515758999999998e-39	7.822325900000001e-42	2.3515758999999998e-39	7.822325900000001e-42
23.752969121140143	-4.6542000000000145	0.	0.	0.	0.	0.	0.	6.110168e-39	2.0324977e-41	6.110168e-39	2.0324977e-41
