0,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.87,0,1697.4,-0.00013303,1681.5,6.0232,720.8,279.81,10.466,265.22,10.027,1e-05,1e-05,1.4339e+07,278.58,262.46,1,512,1,512
1,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.87,0,1798.8,-0.00013303,1535.7,5.3119,737.74,282.55,11.01,264.16,9.8689,1e-05,1e-05,1.4915e+07,281.23,261.53,1,512,1,512
2,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.87,0,1877.9,-0.00013303,1533.5,4.3662,706.35,282.54,10.996,261.46,10.775,1e-05,1e-05,1.5261e+07,280.87,261.93,1,512,1,512
3,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.87,0,2011.4,-0.00013303,1747.5,5.8474,783.57,284.19,10.607,265.2,10.785,1e-05,1e-05,1.6654e+07,280.45,261.72,1,512,1,512
4,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.88,0,1919.2,-0.00013303,1586.4,3.2191,764.46,278.5,10.762,261.18,10.396,1e-05,1e-05,1.5272e+07,279.13,260.44,1,512,1,512
5,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.88,0,1864.4,-0.00013303,1551.5,5.2138,736.06,281.7,10.433,262.17,10.819,1e-05,1e-05,1.5382e+07,280.91,261.99,1,512,1,512
6,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.88,0,1847.7,-0.00013303,1594.4,4.5925,733.14,278.57,10.816,261.96,10.384,1e-05,1e-05,1.5094e+07,277.76,260.62,1,512,1,512
7,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.88,0,2057.1,-0.00013303,1532.2,4.4907,775.43,279.2,11.176,261.58,10.578,1e-05,1e-05,1.6641e+07,278.96,260.87,1,512,1,512
8,500,500,6.9,6.9,0,5.5,0.084,15000,0.43,19.469,120,20.981,0.2,0.084,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.88,0,1789,-0.00013303,1574.1,4.7761,744.69,280.64,10.349,263.56,10.344,1e-05,1e-05,1.4701e+07,278.68,262.02,1,512,1,512
0,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,993.39,-0.00013303,1304.4,6.1405,452.48,284.65,9.915,260.08,9.8675,1e-05,1e-05,9.0783e+06,281.43,259.2,1,512,1,512
1,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1207.3,-0.00013303,1341.8,6.0527,609.43,280.44,9.601,262.57,9.1953,1e-05,1e-05,1.0664e+07,279.3,260.26,1,512,1,512
2,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1063.7,-0.00013303,1131.9,4.5122,475.28,279.76,10.135,258.58,9.8405,1e-05,1e-05,9.18e+06,279.24,258.41,1,512,1,512
3,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1027.3,-0.00013303,1397.1,5.6489,526.79,276.46,9.3674,263.56,9.2773,1e-05,1e-05,9.2049e+06,277.14,261.06,1,512,1,512
4,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1297.7,-0.00013303,1367,4.4344,591.38,278.73,9.8028,259.83,9.9757,1e-05,1e-05,1.0919e+07,277.94,259.73,1,512,1,512
5,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1204.3,-0.00013303,1243.3,5.9571,577.23,281.1,9.6938,258.34,9.5914,1e-05,1e-05,1.0616e+07,278.48,260.36,1,512,1,512
6,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1160.9,-0.00013303,1297.5,5.0281,569.06,279.97,9.7482,259.3,9.3259,1e-05,1e-05,1.0046e+07,279.46,259.83,1,512,1,512
7,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1212.2,-0.00013303,1358.5,5.5754,592.23,284.44,9.2658,262.96,9.8439,1e-05,1e-05,1.0575e+07,281.48,261.01,1,512,1,512
8,500,500,6.9,6.9,0,5.5,0.082,15000,0.43,19.469,120,20.981,0.2,0.082,15000,0.2,1,1000,0,0,50,50,50,0,0.15,0.15,0.062,0,40,60,0,1,0,150,50,15,1000,1000,900,0.25,-0.3192,0.36,0.1,0.1,-0.017501,1606.8,6.5,42,10,1000,1.6,2,0,0,2000,1,0.01,0.2,500,15,57,20,242.89,0,1090.4,-0.00013303,1249.7,6.0072,546.11,281.66,9.39,264.06,9.476,1e-05,1e-05,9.7727e+06,277.71,262.67,1,512,1,512
