"tempβ"	"μ"	"density"	"err"	"doublon"	"err"
3.3333333333333335	-6.021	1.2334533e-8	4.0349943e-10	1.5711714e-17	2.5865310000000002e-19
3.3333333333333335	-5.9808	1.4103217e-8	4.6135837e-10	2.0540667e-17	3.3814943e-19
3.3333333333333335	-5.940600000000001	1.6125518e-8	5.2751388e-10	2.6853786000000002e-17	4.4207873e-19
3.3333333333333335	-5.900400000000001	1.8437802e-8	6.0315562e-10	3.5107225e-17	5.7795044e-19
3.3333333333333335	-5.860200000000002	2.1081652e-8	6.896438400000001e-10	4.5897336e-17	7.5558191e-19
3.3333333333333335	-5.820000000000002	2.4104610999999998e-8	7.885338600000001e-10	6.0003758e-17	9.8780796e-19
3.3333333333333335	-5.7798000000000025	2.7561040999999998e-8	9.016039900000001e-10	7.8445752e-17	1.291408e-18
3.3333333333333335	-5.739600000000003	3.1513098e-8	1.0308876e-9	1.0255584e-16	1.6883187e-18
3.3333333333333335	-5.699400000000003	3.6031851999999994e-8	1.1787095e-9	1.3407610000000001e-16	2.2072189e-18
3.3333333333333335	-5.659200000000004	4.1198563e-8	1.3477280999999999e-9	1.7528403000000002e-16	2.8856015000000003e-18
3.3333333333333335	-5.619000000000004	4.7106144e-8	1.5409826e-9	2.2915710000000004e-16	3.7724832000000004e-18
3.3333333333333335	-5.578800000000005	5.386083e-8	1.7619484999999998e-9	2.9958791000000003e-16	4.9319454000000004e-18
3.3333333333333335	-5.538600000000005	6.1584089e-8	2.0145994000000003e-9	3.9166545000000004e-16	6.447765100000001e-18
3.3333333333333335	-5.4984000000000055	7.041480799999999e-8	2.3034785e-9	5.1204275e-16	8.429467600000001e-18
3.3333333333333335	-5.458200000000006	8.051179e-8	2.6337809000000003e-9	6.694177000000001e-16	1.1020241e-17
3.3333333333333335	-5.418000000000006	9.205660599999999e-8	3.0114462e-9	8.751614e-16	1.440728e-17
3.3333333333333335	-5.377800000000007	1.0525686999999999e-7	3.4432658999999998e-9	1.1441399e-15	1.8835317e-17
3.3333333333333335	-5.337600000000007	1.2034995e-7	3.9370055e-9	1.4957881000000001e-15	2.4624297e-17
3.3333333333333335	-5.297400000000008	1.3760727e-7	4.5015438000000005e-9	1.9555144e-15	3.2192503e-17
3.3333333333333335	-5.257200000000008	1.5733916999999998e-7	5.1470327e-9	2.5565364e-15	4.2086772999999996e-17
3.3333333333333335	-5.2170000000000085	1.7990047999999998e-7	5.88508e-9	3.3422808e-15	5.5022017e-17
3.3333333333333335	-5.176800000000009	2.0569692e-7	6.728957800000001e-9	4.3695214e-15	7.1932867e-17
3.3333333333333335	-5.136600000000009	2.3519238e-7	7.6938415e-9	5.7124816e-15	9.4041211e-17
3.3333333333333335	-5.09640000000001	2.6891727e-7	8.7970824e-9	7.4681966e-15	1.2294448000000001e-16
3.3333333333333335	-5.05620000000001	3.0747807e-7	1.005852e-8	9.7635256e-15	1.6073107e-16
3.3333333333333335	-5.016000000000011	3.5156821e-7	1.1500838e-8	1.2764317e-14	2.1013124000000002e-16
3.3333333333333335	-4.975800000000011	4.0198054e-7	1.3149973e-8	1.6687393000000002e-14	2.7471437e-16
3.3333333333333335	-4.9356000000000115	4.5962164e-7	1.5035581e-8	2.1816215000000002e-14	3.5914687000000005e-16
3.3333333333333335	-4.895400000000012	5.2552803e-7	1.7191572e-8	2.8521364e-14	4.695293800000001e-16
3.3333333333333335	-4.855200000000012	6.0088492e-7	1.9656714e-8	3.7287319e-14	6.1383749e-16
3.3333333333333335	-4.815000000000013	6.8704741e-7	2.2475338e-8	4.8747463e-14	8.0249807e-16
3.3333333333333335	-4.774800000000013	7.8556495e-7	2.569813e-8	6.372984499999999e-14	1.0491426e-15
3.3333333333333335	-4.734600000000014	8.982091399999999e-7	2.9383042999999996e-8	8.3317012e-14	1.3715922e-15
3.3333333333333335	-4.694400000000014	1.0270056e-6	3.3596343e-8	1.0892423e-13	1.7931449e-15
3.3333333333333335	-4.6542000000000145	1.1742706e-6	3.8413793e-8	1.4240173e-13	2.3442596e-15
3.3333333333333335	-4.614000000000015	1.3426521e-6	4.3922023e-8	1.8616841999999998e-13	3.0647561e-15
3.3333333333333335	-4.573800000000015	1.5351782e-6	5.0220083999999996e-8	2.4338664e-13	4.0066926e-15
3.3333333333333335	-4.533600000000016	1.7553109e-6	5.742122699999999e-8	3.1819064e-13	5.2381268e-15
3.3333333333333335	-4.493400000000016	2.0052205e-6	6.4613424e-8	4.1574351e-13	6.6854303e-15
3.3333333333333335	-4.453200000000017	2.2927533000000003e-6	7.3878428e-8	5.435206599999999e-13	8.7401529e-15
3.3333333333333335	-4.413000000000017	2.6215158000000004e-6	8.447193699999999e-8	7.1056954e-13	1.1426376000000001e-14
3.3333333333333335	-4.372800000000018	2.9974200000000004e-6	9.658443899999999e-8	9.2896007e-13	1.4938182e-14
3.3333333333333335	-4.332600000000018	3.4272253000000007e-6	1.1043373e-7	1.2144718e-12	1.9529304000000002e-14
3.3333333333333335	-4.292400000000018	3.9186606000000005e-6	1.2626885e-7	1.587734e-12	2.5531451e-14
3.3333333333333335	-4.252200000000019	4.4805629000000004e-6	1.4437452e-7	2.0757159999999997e-12	3.3378276e-14
3.3333333333333335	-4.212000000000019	5.123036100000001e-6	1.6507628999999998e-7	2.7136761999999996e-12	4.3636703e-14
3.3333333333333335	-4.17180000000002	5.857633100000001e-6	1.887464e-7	3.547709e-12	5.7047885e-14
