"tempβ"	"μ"	"density"	"err"	"doublon"	"err"	"int_energy"	"err"	"kinetic_energy"	"err"	"total_energy"	"err"
12.5	-4.50001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.45981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.4196100000000005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.379410000000001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.339210000000001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.299010000000002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.258810000000002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.218610000000003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.178410000000003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.1382100000000035	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.098010000000004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.057810000000004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-4.017610000000005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.9774100000000048	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.9372100000000048	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.8970100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.8568100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.8166100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.7764100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.7362100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.6960100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.6558100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.6156100000000047	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.5754100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.5352100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.4950100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.4548100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.4146100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.3744100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.3342100000000046	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.2940100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.2538100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.2136100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.1734100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.1332100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.0930100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.0528100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-3.0126100000000045	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
12.5	-2.9724100000000044	1.9984014e-16	0.	1.1093356000000001e-32	0.	0.	0.	5.9400684e-16	0.	5.9400684e-16	0.
12.5	-2.9322100000000044	2.4424907000000004e-16	0.	1.6023737e-32	0.	0.	0.	7.1618955e-16	0.	7.1618955e-16	0.
12.5	-2.8920100000000044	4.4408921e-16	0.	4.9303807e-32	0.	0.	0.	1.2843103999999999e-15	0.	1.2843103999999999e-15	0.
12.5	-2.8518100000000044	6.4392935e-16	0.	1.0477058999999999e-31	0.	0.	0.	1.8363641999999998e-15	0.	1.8363641999999998e-15	0.
12.5	-2.8116100000000044	1.0880186e-15	0.	2.9705543e-31	0.	0.	0.	3.0590838999999997e-15	0.	3.0590838999999997e-15	0.
12.5	-2.7714100000000044	1.7763568e-15	0.	7.8886091e-31	0.	0.	0.	4.9230131e-15	0.	4.9230131e-15	0.
12.5	-2.7312100000000044	2.9087843000000003e-15	0.	2.1163659000000002e-30	0.	0.	0.	7.9445008e-15	0.	7.9445008e-15	0.
12.5	-2.6910100000000043	4.8849813e-15	0.	5.9657606e-30	0.	0.	0.	1.3145534e-14	0.	1.3145534e-14	0.
12.5	-2.6508100000000043	8.1934459e-15	0.	1.6784248000000002e-29	0.	0.	0.	2.1719268e-14	0.	2.1719268e-14	0.
12.5	-2.6106100000000043	1.3522516000000002e-14	0.	4.5715722e-29	0.	0.	0.	3.5302017e-14	0.	3.5302017e-14	0.
12.5	-2.5704100000000043	2.220446e-14	0.	1.2325952e-28	0.	0.	0.	5.7074567e-14	0.	5.7074567e-14	0.
12.5	-2.5302100000000043	3.6859404e-14	0.	3.3965392000000003e-28	0.	0.	0.	9.326203400000001e-14	0.	9.326203400000001e-14	0.
12.5	-2.4900100000000043	6.084022200000001e-14	0.	9.2538315e-28	0.	0.	0.	1.5149276e-13	0.	1.5149276e-13	0.
12.5	-2.4498100000000043	1.0036416e-13	0.	2.5182411999999995e-27	0.	0.	0.	2.4587312999999997e-13	0.	2.4587312999999997e-13	0.
12.5	-2.4096100000000042	1.6588952e-13	0.	6.8798347e-27	0.	0.	0.	3.9972906e-13	0.	3.9972906e-13	0.
12.5	-2.3694100000000042	2.7424729e-13	0.	1.8802895e-26	0.	0.	0.	6.4980428e-13	0.	6.4980428e-13	0.
12.5	-2.329210000000004	4.5341508000000003e-13	0.	5.1396308999999994e-26	0.	0.	0.	1.0560988999999999e-12	0.	1.0560988999999999e-12	0.
12.5	-2.289010000000004	7.4942275e-13	0.	1.4040861e-25	0.	0.	0.	1.7154362e-12	0.	1.7154362e-12	0.
12.5	-2.248810000000004	1.2387645999999999e-12	0.	3.8363446000000006e-25	0.	0.	0.	2.7857463e-12	0.	2.7857463e-12	0.
12.5	-2.208610000000004	2.0472512999999997e-12	0.	1.0478094000000002e-24	0.	0.	0.	4.5215796e-12	0.	4.5215796e-12	0.
12.5	-2.168410000000004	3.3839597999999995e-12	0.	2.8627959e-24	0.	0.	0.	7.3378122e-12	0.	7.3378122e-12	0.
12.5	-2.128210000000004	5.5931037999999994e-12	0.	7.820702400000001e-24	0.	0.	0.	1.1903299e-11	0.	1.1903299e-11	0.
12.5	-2.088010000000004	9.2446051e-12	0.	2.1365681000000002e-23	0.	0.	0.	1.9302828e-11	0.	1.9302828e-11	0.
12.5	-2.047810000000004	1.5279977e-11	0.	5.836942600000001e-23	0.	0.	0.	3.129049e-11	0.	3.129049e-11	0.
12.5	-2.007610000000004	2.5255552999999997e-11	0.	1.5946073999999997e-22	0.	0.	0.	5.0703301e-11	0.	5.0703301e-11	0.
12.5	-1.967410000000004	4.1743498000000006e-11	0.	4.356298999999999e-22	0.	0.	0.	8.2126575e-11	0.	8.2126575e-11	0.
12.5	-1.927210000000004	6.899567599999999e-11	0.	1.1901008e-21	0.	0.	0.	1.3296916000000001e-10	0.	1.3296916000000001e-10	0.
12.5	-1.887010000000004	1.1403924e-10	0.	3.2512372999999998e-21	0.	0.	0.	2.1519320000000002e-10	0.	2.1519320000000002e-10	0.
12.5	-1.846810000000004	1.8848967000000002e-10	0.	8.8820888e-21	0.	0.	0.	3.481046e-10	0.	3.481046e-10	0.
12.5	-1.806610000000004	3.1154481e-10	0.	2.4265042e-20	0.	0.	0.	5.6283997e-10	0.	5.6283997e-10	0.
12.5	-1.766410000000004	5.1493634e-10	0.	6.6289858e-20	0.	0.	0.	9.095887000000001e-10	0.	9.095887000000001e-10	0.
12.5	-1.726210000000004	8.511116300000001e-10	0.	1.8109775e-19	0.	0.	0.	1.4691974e-9	0.	1.4691974e-9	0.
12.5	-1.686010000000004	1.4067583e-9	0.	4.947422e-19	0.	0.	0.	2.3718085e-9	0.	2.3718085e-9	0.
12.5	-1.645810000000004	2.325158e-9	0.	1.35159e-18	0.	0.	0.	3.8267684e-9	0.	3.8267684e-9	0.
12.5	-1.605610000000004	3.8431334e-9	0.	3.6924185e-18	0.	0.	0.	6.1705734e-9	0.	6.1705734e-9	0.
12.5	-1.565410000000004	6.3521162e-9	0.	1.0087345e-17	0.	0.	0.	9.9436662e-9	0.	9.9436662e-9	0.
12.5	-1.525210000000004	1.0499083999999999e-8	0.	2.7557691e-17	0.	0.	0.	1.6013308e-8	0.	1.6013308e-8	0.
12.5	-1.485010000000004	1.7353392e-8	0.	7.5285056e-17	0.	0.	0.	2.5769961000000003e-8	0.	2.5769961000000003e-8	0.
12.5	-1.444810000000004	2.8682523999999997e-8	0.	2.0567179000000002e-16	0.	0.	0.	4.1440797e-8	0.	4.1440797e-8	0.
12.5	-1.404610000000004	4.7407858e-8	0.	5.618762500000001e-16	0.	0.	0.	6.6589551e-8	0.	6.6589551e-8	0.
12.5	-1.364410000000004	7.8357993e-8	0.	1.5349937999999998e-15	0.	0.	0.	1.0691243e-7	0.	1.0691243e-7	0.
12.5	-1.3242100000000039	1.2951387e-7	0.	4.1934604e-15	0.	0.	0.	1.7150356e-7	0.	1.7150356e-7	0.
12.5	-1.2840100000000039	2.1406675999999998e-7	0.	1.1456144000000001e-14	0.	0.	0.	2.7486386e-7	0.	2.7486386e-7	0.
12.5	-1.2438100000000039	3.5381983e-7	0.	3.1297119000000004e-14	0.	0.	0.	4.4008465e-7	0.	4.4008465e-7	0.
12.5	-1.2036100000000038	5.8481042e-7	0.	8.5500807e-14	0.	0.	0.	7.038836699999999e-7	0.	7.038836699999999e-7	0.
12.5	-1.1634100000000038	9.6660268e-7	0.	2.3358019e-13	0.	0.	0.	1.1245552000000001e-6	0.	1.1245552000000001e-6	0.
12.5	-1.1232100000000038	1.5976470000000002e-6	0.	6.3811901e-13	0.	0.	0.	1.7944931e-6	0.	1.7944931e-6	0.
12.5	-1.0830100000000038	2.6406667000000003e-6	0.	1.7432800999999999e-12	0.	0.	0.	2.8598684000000005e-6	0.	2.8598684000000005e-6	0.
12.5	-1.0428100000000038	4.3646175e-6	0.	4.7624715e-12	0.	0.	0.	4.5514668e-6	0.	4.5514668e-6	0.
12.5	-1.0026100000000038	7.214040000000001e-6	0.	1.3010593000000002e-11	0.	0.	0.	7.232868700000001e-6	0.	7.232868700000001e-6	0.
12.5	-0.9624100000000038	0.000011923685000000001	0.	3.5543567e-11	0.	0.	0.	0.000011475474	0.	0.000011475474	0.
12.5	-0.9222100000000037	0.000019707965	0.	9.7100974e-11	0.	0.	0.	0.000018174883	0.	0.000018174883	0.
12.5	-0.8820100000000037	0.000032574066000000004	0.	2.6526744000000003e-10	0.	0.	0.	0.000028730652	0.	0.000028730652	0.
12.5	-0.8418100000000037	0.000053839415000000006	0.	7.2467065e-10	0.	0.	0.	0.000045322558000000004	0.	0.000045322558000000004	0.
12.5	-0.8016100000000037	0.000088986818	0.	1.9796634e-9	0.	0.	0.	0.000071332723	0.	0.000071332723	0.
12.5	-0.7614100000000037	0.00014707743	0.	5.4079427999999995e-9	0.	0.	0.	0.00011198623000000001	0.	0.00011198623000000001	0.
12.5	-0.7212100000000037	0.000243085	0.	1.4772579999999998e-8	0.	0.	0.	0.00017531533	0.	0.00017531533	0.
12.5	-0.6810100000000037	0.00040175074	0.	4.0350913999999994e-8	0.	0.	0.	0.00027359627	0.	0.00027359627	0.
12.5	-0.6408100000000037	0.0006639459300000001	0.	1.1020605e-7	0.	0.	0.	0.00042546319	0.	0.00042546319	0.
12.5	-0.6006100000000036	0.0010971641000000001	0.	3.0094225e-7	0.	0.	0.	0.00065896771	0.	0.00065896771	0.
12.5	-0.5604100000000036	0.0018127964	0.	8.2155774e-7	0.	0.	0.	0.0010159093	0.	0.0010159093	0.
12.5	-0.5202100000000036	0.0029945054	0.	2.2417657e-6	0.	0.	0.	0.0015577717	0.	0.0015577717	0.
12.5	-0.4800100000000036	0.0049446297000000005	0.	6.1123408000000005e-6	0.	0.	0.	0.0023734717	0.	0.0023734717	0.
12.5	-0.4398100000000036	0.0081595526	0.	0.000016644575	0.	0.	0.	0.0035886528	0.	0.0035886528	0.
12.5	-0.3996100000000036	0.013450677000000001	0.	0.000045230175000000004	0.	0.	0.	0.0053750248	0.	0.0053750248	0.
12.5	-0.35941000000000356	0.022134742	0.	0.00012248670000000001	0.	0.	0.	0.0079554475	0.	0.0079554475	0.
12.5	-0.31921000000000355	0.036322924	0.	0.0003298387	0.	0.	0.	0.011594641000000001	0.	0.011594641000000001	0.
12.5	-0.27901000000000353	0.059332790999999996	0.	0.0008800950100000001	0.	0.	0.	0.016554442	0.	0.016554442	0.
12.5	-0.23881000000000352	0.09620483600000002	0.	0.0023138426	0.	0.	0.	0.022974677	0.	0.022974677	0.
12.5	-0.1986100000000035	0.15417049	0.	0.005942134799999999	0.	0.	0.	0.030619801000000002	0.	0.030619801000000002	0.
12.5	-0.1584100000000035	0.24261103	0.	0.014715028	0.	0.	0.	0.038432013	0.	0.038432013	0.
12.5	-0.11821000000000349	0.37157283	0.	0.034516593000000005	0.	0.	0.	0.043923625	0.	0.043923625	0.
12.5	-0.0780100000000035	0.54772032	0.	0.074999387	0.	0.	0.	0.042727662	0.	0.042727662	0.
12.5	-0.037810000000003494	0.76799026	0.	0.14745226	0.	0.	0.	0.029037712	0.	0.029037712	0.
12.5	0.002389999999996506	1.0149363999999998	0.	0.25752397	0.	0.	0.	0.002425698	0.	0.002425698	0.
12.5	0.042589999999996506	1.2600737	0.	0.39694646	0.	0.	0.	0.053666541000000005	0.	0.053666541000000005	0.
12.5	0.0827899999999965	1.4757197999999998	0.	0.54443727	0.	0.	0.	0.12217485	0.	0.12217485	0.
12.5	0.1229899999999965	1.6461656	0.	0.6774653	0.	0.	0.	0.20246191	0.	0.20246191	0.
12.5	0.1631899999999965	1.7698411	0.	0.78308436	0.	0.	0.	0.28882037	0.	0.28882037	0.
12.5	0.20338999999999652	1.8541192	0.	0.85943948	0.	0.	0.	0.3771093	0.	0.3771093	0.
12.5	0.24358999999999653	1.9091215	0.	0.91118622	0.	0.	0.	0.46504291	0.	0.46504291	0.
12.5	0.28378999999999655	1.9440122000000002	0.	0.94479583	0.	0.	0.	0.55169122	0.	0.55169122	0.
12.5	0.32398999999999656	1.9657477	0.	0.96604103	0.	0.	0.	0.63688261	0.	0.63688261	0.
12.5	0.36418999999999657	1.9791357	0.	0.97924451	0.	0.	0.	0.72078142	0.	0.72078142	0.
12.5	0.4043899999999966	1.9873245000000002	0.	0.98736469	0.	0.	0.	0.80365416	0.	0.80365416	0.
12.5	0.4445899999999966	1.9923119	0.	0.99232666	0.	0.	0.	0.88576194	0.	0.88576194	0.
12.5	0.4847899999999966	1.9953414999999999	0.	0.99534692	0.	0.	0.	0.9673216	0.	0.9673216	0.
12.5	0.5249899999999966	1.9971789000000002	0.	0.99718092	0.	0.	0.	1.048499	0.	1.048499	0.
12.5	0.5651899999999966	1.9982923	0.	0.99829299	0.	0.	0.	1.1294148	0.	1.1294148	0.
12.5	0.6053899999999967	1.9989663999999998	0.	0.99896671	0.	0.	0.	1.2101543	0.	1.2101543	0.
12.5	0.6455899999999967	1.9993746000000001	0.	0.99937465	0.	0.	0.	1.2907762	0.	1.2907762	0.
12.5	0.6857899999999967	1.9996215	0.	0.99962158	0.	0.	0.	1.3713205	0.	1.3713205	0.
12.5	0.7259899999999967	1.999771	0.	0.99977103	0.	0.	0.	1.4518138	0.	1.4518138	0.
12.5	0.7661899999999967	1.9998615	0.	0.99986146	0.	0.	0.	1.5322738	0.	1.5322738	0.
12.5	0.8063899999999967	1.9999162000000001	0.	0.99991618	0.	0.	0.	1.6127124000000002	0.	1.6127124000000002	0.
12.5	0.8465899999999967	1.9999493	0.	0.99994928	0.	0.	0.	1.6931371	0.	1.6931371	0.
12.5	0.8867899999999967	1.9999692999999998	0.	0.99996932	0.	0.	0.	1.7735528	0.	1.7735528	0.
12.5	0.9269899999999968	1.9999813999999998	0.	0.99998144	0.	0.	0.	1.8539628	0.	1.8539628	0.
12.5	0.9671899999999968	1.9999888	0.	0.99998877	0.	0.	0.	1.9343690999999998	0.	1.9343690999999998	0.
