"tempβ"	"μ"	"density"	"err"	"doublon"	"err"
9.090909090909092	-5.021	2.9490299e-19	1.8111045000000003e-19	0.	0.
9.090909090909092	-4.9908	3.8163916e-19	1.6593607e-19	0.	0.
9.090909090909092	-4.9606	7.285838600000001e-19	8.930035699999999e-20	0.	0.
9.090909090909092	-4.930400000000001	1.5265567000000001e-18	6.4907409e-20	0.	0.
9.090909090909092	-4.900200000000001	2.7061686000000003e-18	2.2011173e-19	0.	0.
9.090909090909092	-4.870000000000001	4.8051840000000005e-18	6.904112300000001e-19	0.	0.
9.090909090909092	-4.839800000000001	8.708311800000001e-18	9.602286e-19	0.	0.
9.090909090909092	-4.809600000000001	1.50574e-17	1.2123223e-18	0.	0.
9.090909090909092	-4.779400000000002	2.5205532000000003e-17	1.7172009999999999e-18	0.	0.
9.090909090909092	-4.749200000000002	3.9985376e-17	2.5125061e-18	0.	0.
9.090909090909092	-4.719000000000002	6.149594699999999e-17	3.8383085e-18	0.	0.
9.090909090909092	-4.688800000000002	9.194034399999999e-17	5.240473e-18	3.6592669000000005e-35	1.3412550000000002e-35
9.090909090909092	-4.6586000000000025	1.3348697000000003e-16	6.2988022000000006e-18	2.8696356e-34	5.884338500000001e-35
9.090909090909092	-4.628400000000003	1.8726340000000001e-16	7.1094568e-18	1.4906697999999998e-33	1.4384647000000001e-34
9.090909090909092	-4.598200000000003	2.5826563000000005e-16	9.054384200000001e-18	4.2928978e-33	1.8775101000000002e-34
9.090909090909092	-4.568000000000003	3.5084782e-16	1.1979173e-17	9.764464799999999e-33	4.874638600000001e-34
9.090909090909092	-4.537800000000003	4.6785492e-16	1.5712827e-17	2.0156783000000002e-32	1.0758408999999999e-33
9.090909090909092	-4.507600000000004	6.178044200000001e-16	2.0555419e-17	3.8339487000000003e-32	2.2302019e-33
9.090909090909092	-4.477400000000004	8.1643026e-16	2.8063883e-17	6.987851600000001e-32	4.0674968e-33
9.090909090909092	-4.447200000000004	1.0784602e-15	3.6907382e-17	1.2651625999999997e-31	6.914873299999999e-33
9.090909090909092	-4.417000000000004	1.419264e-15	4.8570839999999996e-17	2.2006830999999997e-31	1.1835861000000001e-32
9.090909090909092	-4.3868000000000045	1.870535e-15	6.3184587e-17	3.8112997999999995e-31	2.0446278000000003e-32
9.090909090909092	-4.356600000000005	2.4641052999999998e-15	8.3853469e-17	6.584215199999999e-31	3.4221304000000005e-32
9.090909090909092	-4.326400000000005	3.2461187000000002e-15	1.0983049000000001e-16	1.1472033000000001e-30	5.860037900000001e-32
9.090909090909092	-4.296200000000005	4.2759545999999996e-15	1.4431590000000002e-16	1.9957950000000002e-30	1.0336283999999999e-31
9.090909090909092	-4.266000000000005	5.6302185000000005e-15	1.9063416000000002e-16	3.4724228e-30	1.8313645999999998e-31
9.090909090909092	-4.235800000000006	7.4117622e-15	2.5074607e-16	6.0088205e-30	3.1439432e-31
9.090909090909092	-4.205600000000006	9.7543848e-15	3.2950095000000006e-16	1.0423298000000001e-29	5.4032917e-31
9.090909090909092	-4.175400000000006	1.2838914000000002e-14	4.3329959000000003e-16	1.8077973e-29	9.366150199999998e-31
9.090909090909092	-4.145200000000006	1.689723e-14	5.7095927e-16	3.1331406000000003e-29	1.6354335e-30
9.090909090909092	-4.115000000000006	2.2235321e-14	7.5118707e-16	5.4268829e-29	2.8132044000000002e-30
9.090909090909092	-4.084800000000007	2.9261106999999996e-14	9.888983e-16	9.3954761e-29	4.8839649000000006e-30
9.090909090909092	-4.054600000000007	3.8507218e-14	1.300196e-15	1.6272482e-28	8.467325e-30
9.090909090909092	-4.024400000000007	5.0672799e-14	1.7114151e-15	2.8177481999999997e-28	1.4658749e-29
9.090909090909092	-3.9942000000000073	6.6682961e-14	2.2526542e-15	4.8809723e-28	2.5377804999999997e-29
9.090909090909092	-3.9640000000000075	8.775090000000001e-14	2.9641678e-15	8.4507791e-28	4.400132e-29
9.090909090909092	-3.9338000000000077	1.154752e-13	3.9006468e-15	1.4636157999999998e-27	7.617630500000001e-29
9.090909090909092	-3.903600000000008	1.5195608999999998e-13	5.133073e-15	2.5344675999999996e-27	1.3174767000000002e-28
9.090909090909092	-3.873400000000008	1.9996413e-13	6.754400699999999e-15	4.3891159e-27	2.2837094e-28
9.090909090909092	-3.8432000000000084	2.6314055e-13	8.8874409e-15	7.6005164e-27	3.9532644000000002e-28
9.090909090909092	-3.8130000000000086	3.4627309999999997e-13	1.1696321e-14	1.3161665999999998e-26	6.8459698999999995e-28
9.090909090909092	-3.782800000000009	4.5567159e-13	1.5391008e-14	2.2791834999999997e-26	1.1854777999999999e-27
9.090909090909092	-3.752600000000009	5.996331e-13	2.0253817e-14	3.9467903999999995e-26	2.0526437999999998e-27
9.090909090909092	-3.7224000000000093	7.890780899999999e-13	2.6651898e-14	6.8346563e-26	3.5546034e-27
9.090909090909092	-3.6922000000000095	1.0383728e-12	3.5073258e-14	1.1835435000000002e-25	6.155534099999999e-27
9.090909090909092	-3.6620000000000097	1.366427e-12	4.6153215e-14	2.0495098000000003e-25	1.0659241e-26
9.090909090909092	-3.63180000000001	1.798124e-12	6.0734411e-14	3.5490987000000007e-25	1.8457910999999998e-26
9.090909090909092	-3.60160000000001	2.3662088e-12	7.9922845e-14	6.1458618e-25	3.1965457e-26
9.090909090909092	-3.5714000000000103	3.1137707999999996e-12	1.051723e-13	1.0642654000000001e-24	5.5351742e-26
9.090909090909092	-3.5412000000000106	4.0975119e-12	1.3839981000000002e-13	1.8429673000000003e-24	9.584993699999999e-26
