"tempβ"	"μ"	"density"	"err"	"doublon"	"err"
8.264462809917356	-7.021	0.	0.	0.	0.
8.264462809917356	-6.9808	0.	0.	0.	0.
8.264462809917356	-6.940600000000001	0.	0.	0.	0.
8.264462809917356	-6.900400000000001	0.	0.	0.	0.
8.264462809917356	-6.860200000000002	0.	0.	0.	0.
8.264462809917356	-6.820000000000002	0.	0.	0.	0.
8.264462809917356	-6.7798000000000025	0.	0.	0.	0.
8.264462809917356	-6.739600000000003	0.	0.	0.	0.
8.264462809917356	-6.699400000000003	0.	0.	0.	0.
8.264462809917356	-6.659200000000004	0.	0.	0.	0.
8.264462809917356	-6.619000000000004	0.	0.	0.	0.
8.264462809917356	-6.578800000000005	0.	0.	0.	0.
8.264462809917356	-6.538600000000005	0.	0.	0.	0.
8.264462809917356	-6.4984000000000055	0.	0.	0.	0.
8.264462809917356	-6.458200000000006	0.	0.	0.	0.
8.264462809917356	-6.418000000000006	0.	0.	0.	0.
8.264462809917356	-6.377800000000007	0.	0.	0.	0.
8.264462809917356	-6.337600000000007	0.	0.	0.	0.
8.264462809917356	-6.297400000000008	0.	0.	0.	0.
8.264462809917356	-6.257200000000008	0.	0.	0.	0.
8.264462809917356	-6.2170000000000085	0.	0.	0.	0.
8.264462809917356	-6.176800000000009	0.	0.	0.	0.
8.264462809917356	-6.136600000000009	0.	0.	0.	0.
8.264462809917356	-6.09640000000001	0.	0.	0.	0.
8.264462809917356	-6.05620000000001	0.	0.	0.	0.
8.264462809917356	-6.016000000000011	0.	0.	0.	0.
8.264462809917356	-5.975800000000011	0.	0.	0.	0.
8.264462809917356	-5.9356000000000115	0.	0.	0.	0.
8.264462809917356	-5.895400000000012	0.	0.	0.	0.
8.264462809917356	-5.855200000000012	0.	0.	0.	0.
8.264462809917356	-5.815000000000013	0.	0.	0.	0.
8.264462809917356	-5.774800000000013	0.	0.	0.	0.
8.264462809917356	-5.734600000000014	0.	0.	0.	0.
8.264462809917356	-5.694400000000014	0.	0.	0.	0.
8.264462809917356	-5.6542000000000145	0.	0.	0.	0.
8.264462809917356	-5.614000000000015	0.	0.	0.	0.
8.264462809917356	-5.573800000000015	0.	0.	0.	0.
8.264462809917356	-5.533600000000016	0.	0.	0.	0.
8.264462809917356	-5.493400000000016	0.	0.	0.	0.
8.264462809917356	-5.453200000000017	0.	0.	0.	0.
8.264462809917356	-5.413000000000017	0.	0.	0.	0.
8.264462809917356	-5.372800000000018	0.	0.	0.	0.
8.264462809917356	-5.332600000000018	0.	0.	0.	0.
8.264462809917356	-5.292400000000018	0.	0.	0.	0.
8.264462809917356	-5.252200000000019	0.	0.	0.	0.
8.264462809917356	-5.212000000000019	0.	0.	0.	0.
8.264462809917356	-5.17180000000002	1.0408341000000001e-19	6.373780999999999e-20	0.	0.
8.264462809917356	-5.13160000000002	3.6429193000000003e-19	1.5612511000000002e-19	0.	0.
8.264462809917356	-5.091400000000021	1.405126e-18	2.1666689000000001e-19	0.	0.
8.264462809917356	-5.051200000000021	5.7766292e-18	9.3522352e-19	0.	0.
8.264462809917356	-5.011000000000021	1.6722734e-17	1.3446625000000003e-18	0.	0.
8.264462809917356	-4.970800000000022	4.3368087e-17	2.6895208e-18	0.	0.
8.264462809917356	-4.930600000000022	8.7516799e-17	3.1341658000000002e-18	2.6963019000000004e-35	1.1147125000000001e-35
8.264462809917356	-4.890400000000023	1.4658413000000003e-16	1.3021986e-18	2.9736357999999998e-33	8.895836800000001e-35
8.264462809917356	-4.850200000000023	2.2327626000000003e-16	2.5520783000000005e-18	8.1293503e-33	1.8551515e-34
8.264462809917356	-4.810000000000024	3.1396760000000004e-16	4.8647628e-18	1.8051741e-32	3.1152475000000003e-34
